iter	Passed	Remaining
0	82	82103
1	83	41711
2	84	28180
3	85	21375
4	86	17290
5	92	15381
6	94	13401
7	95	11867
8	96	10679
9	98	9753
10	99	8956
11	100	8294
12	108	8272
13	110	7790
14	112	7411
15	114	7034
16	115	6684
17	116	6364
18	120	6240
19	122	5994
20	124	5792
21	125	5597
22	127	5410
23	128	5239
24	130	5072
25	135	5085
26	136	4935
27	138	4810
28	140	4687
29	141	4562
30	142	4444
31	143	4344
32	144	4242
33	147	4202
34	149	4113
35	150	4026
36	151	3942
37	152	3864
38	154	3796
39	155	3726
40	156	3661
41	157	3597
42	162	3621
43	164	3575
44	166	3525
45	167	3474
46	169	3428
47	170	3381
48	171	3335
49	173	3288
50	175	3273
51	177	3232
52	178	3193
53	179	3152
54	181	3114
55	182	3074
56	183	3035
57	184	3000
58	185	2964
59	186	2928
60	192	2963
61	193	2930
62	194	2895
63	195	2863
64	196	2831
65	198	2804
66	199	2777
67	200	2750
68	201	2722
69	205	2731
70	206	2705
71	207	2677
72	208	2650
73	209	2623
74	210	2599
75	211	2576
76	213	2553
77	214	2531
78	215	2509
79	216	2492
80	222	2519
81	223	2500
82	224	2475
83	225	2457
84	226	2438
85	227	2420
86	229	2409
87	230	2391
88	232	2374
89	234	2371
90	235	2353
91	236	2337
92	237	2321
93	239	2306
94	240	2291
95	242	2279
96	243	2266
97	244	2251
98	249	2268
99	250	2257
100	252	2248
101	254	2236
102	258	2253
103	259	2238
104	266	2267
105	267	2255
106	269	2250
107	270	2238
108	272	2224
109	273	2210
110	274	2196
111	275	2183
112	282	2220
113	284	2210
114	287	2210
115	288	2197
116	289	2182
117	290	2170
118	291	2160
119	297	2179
120	298	2169
121	299	2158
122	301	2150
123	302	2138
124	304	2128
125	305	2117
126	306	2104
127	309	2105
128	310	2098
129	313	2100
130	315	2091
131	316	2081
132	317	2072
133	323	2088
134	324	2081
135	326	2073
136	327	2064
137	329	2057
138	330	2048
139	332	2042
140	333	2034
141	338	2045
142	340	2041
143	341	2032
144	344	2029
145	345	2021
146	347	2015
147	349	2010
148	353	2018
149	355	2014
150	357	2009
151	359	2005
152	361	1998
153	362	1990
154	368	2006
155	369	1998
156	370	1990
157	372	1984
158	373	1977
159	375	1969
160	376	1959
161	377	1951
162	381	1957
163	382	1952
164	384	1945
165	385	1938
166	387	1931
167	388	1923
168	389	1915
169	391	1910
170	392	1902
171	398	1920
172	400	1914
173	403	1915
174	404	1908
175	406	1901
176	407	1893
177	408	1885
178	413	1895
179	415	1891
180	416	1884
181	417	1878
182	419	1870
183	420	1864
184	421	1856
185	422	1849
186	428	1862
187	430	1858
188	431	1852
189	432	1845
190	434	1839
191	435	1834
192	439	1839
193	442	1840
194	445	1837
195	446	1831
196	448	1826
197	450	1823
198	459	1850
199	461	1847
200	464	1846
201	467	1848
202	471	1851
203	474	1851
204	480	1862
205	487	1880
206	489	1875
207	490	1868
208	492	1862
209	493	1857
210	495	1852
211	499	1856
212	501	1851
213	502	1845
214	504	1840
215	507	1841
216	508	1836
217	510	1830
218	522	1864
219	524	1859
